epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,3776.06,0.72486,0.86971,0.98603,0.87593,0.82751,0.87593,0.77928,0.50124,0.76868,0.90596,4.24473e-05,4.24473e-05,4.24473e-05
91,3817.35,0.67593,0.77691,0.97159,0.89438,0.82038,0.87573,0.77404,0.52502,0.78837,0.92068,3.8913e-05,3.8913e-05,3.8913e-05
92,3858.36,0.6881,0.80909,0.99549,0.86401,0.82957,0.86873,0.76872,0.53828,0.83348,0.92317,3.53787e-05,3.53787e-05,3.53787e-05
93,3899.68,0.68386,0.77966,0.96828,0.87419,0.83914,0.87009,0.76647,0.51914,0.80223,0.90643,3.18444e-05,3.18444e-05,3.18444e-05
94,3940.67,0.68511,0.75559,0.97377,0.87965,0.82855,0.87573,0.77604,0.5117,0.79194,0.90238,2.83101e-05,2.83101e-05,2.83101e-05
95,3981.63,0.6823,0.78306,0.98414,0.86246,0.82733,0.86987,0.77615,0.50358,0.78563,0.90323,2.47758e-05,2.47758e-05,2.47758e-05
96,4023.38,0.67194,0.7459,0.95745,0.85879,0.84031,0.87886,0.77821,0.51431,0.78201,0.90798,2.12415e-05,2.12415e-05,2.12415e-05
97,4064.47,0.67375,0.76575,0.9984,0.87688,0.82872,0.87465,0.77104,0.516,0.77576,0.90634,1.77072e-05,1.77072e-05,1.77072e-05
98,4105.55,0.66562,0.75097,0.98132,0.87914,0.83873,0.87587,0.77186,0.51549,0.77276,0.90702,1.41729e-05,1.41729e-05,1.41729e-05
99,4146.73,0.68281,0.75599,0.98189,0.8707,0.83698,0.87653,0.77511,0.51298,0.77169,0.90879,1.06386e-05,1.06386e-05,1.06386e-05
100,4187.78,0.67814,0.7523,0.97899,0.8703,0.83724,0.87583,0.78065,0.51371,0.77515,0.90915,7.1043e-06,7.1043e-06,7.1043e-06
